platform,title,price_usd,price_cad,url
eBay,Balenciaga Hip Mini City Bag Beige with Dustbag and Mirror,434.93,600.2,https://www.ebay.com/itm/236156611396?_skw=balenciaga+city+bag&hash=item36fc07eb44:g:oCcAAOSwEWloUu3R&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1eMD5NbwCzkS5NKOJyuxK61OIrmpJFzsycIYq%2FokD5OjyBVojOQdKA470EfDHU2OwVGpaVboW9NJUxOpaeDOQhyGWiDo3746hOqaN6%2FSxthZafkuNZJeJUD4aTdIlhSbHFg6WggqroMlgujR6wbcPnT5nDNLyGfM%2FLcb2fht2ca0M%2BOLuu8bBdS0sgrWZuPR9iSO54K0ppY%2BCHZ8eUQNB1MfTbUTGjdapJpMhb6pbaO%2FHVUGdjDl1POafhZRVrzF3rCqJwosyE9uwt7EvWNM8QNtx8HwhSnIzICyiJ%2Fv8cyfQ%3D%3D%7Ctkp%3ABk9SR7ab3NKLZg
eBay,Balenciaga Bag 2 Way First Black Suede Brown Trim Handle Silver Stud City Arena,499.99,689.99,https://www.ebay.com/itm/177298741391?_skw=balenciaga+city+bag&hash=item2947d4188f:g:C-MAAeSwRmRoh63P&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1d7ZNz1nuNRj5yYcQj6r1WIl4kD7Z9qlvno39QeFdU%2B6tkopBzy%2F1UjLEPKaBh9fgR62SdIPaGsYSD3W6KqawzUuTlsr9x6byd69bJixMuLvAz0nqSEnEbtodIslRCKqIJBvbNykiy0kWGVH%2BMydIcuJkHIoCI%2FhWie3iFopRJOOdLJFyLMVFWBkFlpuZtlalA4iRM5jQ3%2BhMMwtK%2FawhEHPEO582eXxVDfUluBJV8uG4aFxJqYXZHHFWxmQ9xQw7uImnIPTrjwlMeTHlF8%2BdZph%2FXSI7LZu5kJ4uWQX9isbg%3D%3D%7Ctkp%3ABk9SR7ab3NKLZg
eBay,Balenciaga The City 2Way Handbag Shoulder Bag  With Strap Mirror Dust Bag,849.0,1171.62,https://www.ebay.com/itm/396907766921?_skw=balenciaga+city+bag&hash=item5c698be489:g:cDcAAeSwJLJohy-B&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1fNiRSfNuiu7kIhebaHL2g2NOU7ZK2mvuAWi0xml%2Bw25wyDQzAJkne%2BgocjQJ9BuRX1IM%2BTGyaoU%2BPYRB%2B6GMmMYAks40LWD%2BROn7aYPPiFTBkyeb1z%2Bpk24K9BkuPfakPRSk78cy95nIZlJ1njfxV2OEocXQrcPrqZWb6LjcUgpQlfmmKWFDOlYoBd9CoKWAog8PhliLR9LvzMspq0RPRydl9iqNAyA8cPse0vpJEaTPVStKEi1Z1UTm8klvdJN0Ha2QN6vKyRTaRfj5J0u1ix267G2iTbOwcbPMhBQfNJVQ%3D%3D%7Ctkp%3ABk9SR7ab3NKLZg
eBay,Auth ED2 Balenciaga 2WAY Bag with Strap and Mirror Surface aging from Japan,570.0,786.6,https://www.ebay.com/itm/306420334455?_skw=balenciaga+city+bag&hash=item4758133f77:g:NREAAeSwb5xoiUfY&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1dA8ckm4ajPhCcb%2FPi2xShmYXQa0O01z%2FYGNoKD1Z46iybkhU2FBTuAqXss8OUuGb0G2%2BFZhhrmzBx2T3BBgDbx4wyTdEzHQFw9nP4FT3XmO5k7OynWT7VaGh3ZzzLQ5COkwLrIBhyNzwOGqsCWX0VU94xcGHX3YRImY3rLqA1ryxvyVpiHAw1vLVohl7dL%2FmJJZ2aTSCo85F1Bjli6TabLRWmJy9oLY5gZ1sDUFlVCwHM1gI%2Fqq6NcBeXA1fKaA7x8f6eBzGVE5jMjM1MhxhvnpxNpFuKlVlF4Z1tmYwCV8g%3D%3D%7Ctkp%3ABk9SR7ab3NKLZg
eBay,BALENCIAGA Giant Classic City 2way Shoulder Bag Black,760.0,1048.8,https://www.ebay.com/itm/317079670331?_skw=balenciaga+city+bag&hash=item49d36bce3b:g:QXsAAeSwRs1oc4rj&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1cDrePudePOMed7EG2VzOJuWvBaFPRUxFHvfcktBR%2FJzor2EPQTW67P5hOlcti39zX7B5aWRFN2sEUhgOUaCcEajfgzcNbJE1oSchRpuJoJOn0UcO7QKReTZINtgJoHPa59vinyu9qdSf7YatsmYx1oa0xJrTywBxLi1JshcdvtZPH%2B1nw038D4XBHrFhSKkngTJEPy%2BDtaWFsEvjtpSfmqdpJbIigZ13laq1IFneqRtB6D1oqDsuzmbzx7DPPgXg%2Bc52iWn4cQZVeMrQHPXea%2BtY97kpdg06t%2FZeHaKxjvQg%3D%3D%7Ctkp%3ABk9SR7ab3NKLZg
eBay,Authentic Balenciaga Classic City Bag,907.77,1252.72,https://www.ebay.com/itm/167347160567?_skw=balenciaga+city+bag&hash=item26f6ab05f7:g:kn4AAeSwHL1nwpSK&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1dlqusX9Guv%2Bg680GuGg9E5CIkICBXrt2uwICDJ8GDZ4J17BDqOMgUPw8t%2B%2Bosq%2BH7Sta3mO7zQ7mMvY5%2Fr%2Few8wgosVq%2BBlsyZ2y1REqnOpJTIgtx64D%2F1Y4ZC%2FDKUCupCL2rL7ThX18XZIo2vIzCgOraWyz%2FVF2MkQN%2BrBVsQmb6QrH%2BFShxu8GFczVXGYe7ThbOR1hA1i8hNO0X44IX5s8yQocRMCLOhH0jNzdtdbgbxSPsjQFCD%2Fs%2B1t19RPSw%3D%7Ctkp%3ABk9SR7ab3NKLZg
eBay,Balenciaga The Giant City 2Way Shoulder Hand Bag Gray Blue With Strap,790.0,1090.2,https://www.ebay.com/itm/396776937495?_skw=balenciaga+city+bag&hash=item5c61bf9817:g:IkAAAOSwwPloWKts&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1f%2B%2BB0dWMNEs87QeZ3q9DHboK5r06yjqbH7UqE88S4GQm3suiVXT8ihOp6CuTprrTCUarYjhm3gU6dc0xT4tUYCq3a98rk9Xhnd7pCxKJ%2B0AXBuFZikNwVODI7MW%2BqNFdhTg%2B4MRvN5ysmZ2Zi1H4sJot3q6yHK3R0XP1hc7bHdAmh%2Bx9GIzj%2FVkYKqMyzratnGbFgn%2B8KOWaIPa7B%2FrE8o9SeQXiXuUx8gEyJ9JLpsHN0JH6i382CsasLu96nFFD8%3D%7Ctkp%3ABk9SR7ab3NKLZg
eBay,BALENCIAGA City 115748 Shoulder Bag Handbag Pink Leather Tote Y2K Vintage,800.0,1104.0,https://www.ebay.com/itm/357288304856?_skw=balenciaga+city+bag&hash=item53300ae0d8:g:uZkAAeSw2sloiTod&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1fbSR6xIjtiyw0M8yVl4yJuuB762REq9j4q%2B6SoVKvyU%2FVYdzLQ2XRjoKi6D3OvwXKOz08h4Mz1txGDa3rmePvRIAnJGFc2n%2BDa0sfmY4wsBYdUnNJv7%2BgFX4JZSfzJtYEcGyGziQuv%2FtKFTckK4h0oFOqBG7nVzeDOSq2%2FRBybm1U1P3LyxPO1zvS4cSygaYNZ6pQGrsnCbfN%2B%2FNmJSG8W%2BGTO0KqMgvKl7BvlS0Bvg5WtOFNlsZgLK2z2mhbUxMMgoTZbcdpBaO4WAqQ0dNJSMkhPN01NOewOYIh4e%2BVTOw%3D%3D%7Ctkp%3ABk9SR7ab3NKLZg
eBay,Balenciaga Black Leather Crossbody Bag,1000.0,1380.0,https://www.ebay.com/itm/226883728997?_skw=balenciaga+city+bag&hash=item34d352f665:g:It8AAeSwihJoZaoH&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1c6fiQcU6kpauSUexOECcMFh5tm5f1lP9wjUdvt%2Fg2WpbCMOO4q6AcFGs5%2FWf%2Fox68J3ZFgEIM0bwWZX%2FhJwxCBZ2ZVWGG3YzUNRnmVr3POdlfhleSVEUMzpSGh9T58qJuuBJsuQWkl9XjJB72E0BC9T6cPJS246ANKZP3cGmx9DLA0%2Fpdo55hDaGWcucwRo63g0FtDuAwlzU1PulyA8pYojEbUbj7cDUXrYrrnacDi7HfH9O3akPIkx0AKBxA62Zu8sRBt0YjED83OxpHgt5XVGJMsR12YepCm0lW5v9Jfcw%3D%3D%7Ctkp%3ABFBMtpvc0otm
eBay,BALENCIAGA The City 115748 2-Way Leather Shoulder Bag Authentic From Japan,839.9,1159.06,https://www.ebay.com/itm/365767426892?_skw=balenciaga+city+bag&hash=item552970034c:g:a6MAAeSwcdloigOy&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1cN8VFhGsrsbm8kwD5KnhpzGHielL9KbQAlf91P7%2FHS%2FXEBQ%2BWT0iGq0ATg%2FXHf1rsJ%2BRCILokfiuG5lxmZTDbJYhMv1iCI%2F5Ag0QrFGVugQ44%2B2CG92oHYEFULxdyUtfD9%2B0lrDaPGLWli%2BKQmRHNAu9xj16xXJJ0XOo93ULenkIQXQmkr1rcvG0f1gjpSjOoWSxDnmM%2BQokaTE1Y7nDCE7xhGUyLKSyAAlyFblILxpTJjVljeHPmhsHnJM526i3hzr%2BeVTCNfPKq2X6qQ8sQEXGFXvAjazr4k%2Bi1CzxVkiQ%3D%3D%7Ctkp%3ABFBMtpvc0otm
eBay,balenciaga 2way City bag city brown Hand Bag Shoulder Bag From Japan Rareitem !!,751.0,1036.38,https://www.ebay.com/itm/336096002364?_skw=balenciaga+city+bag&hash=item4e40e2013c:g:DrYAAeSwSwVoiG5c&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1eIr2%2B8LT7adbomBthz2SQWAcgY2NF2o3w8Mj6o5tSibr6IHUMbYuWK6SARZIE6Gw8imHICbzMmkJFAhvOGGN2QXEMmFExjp5KNAIPh9xnLQkzp3SE0HPXB6gsxFw6S1N55WbVMOa80RfOWBOgLFbizwldhOe%2F22%2Fsg7pbvaM8Ku%2BxWGuhsCxn9vR99VGuxdb3%2FgbYPLvIy6risTFFBJjmtps0hqFMcr11IDXFFVUN4bihNtTS5d9QcZnPIdiLgoB3JxCik4Ei54Ewh6fd4kT3wN0Vg5ggZKR%2BUS9nDBaUO8Q%3D%3D%7Ctkp%3ABFBMuJvc0otm
eBay,BALENCIAGA Classic Nano City 2way Hand Shoulder Bag Genuine With Dust Bag BA001,679.32,937.46,https://www.ebay.com/itm/196586995350?_skw=balenciaga+city+bag&hash=item2dc57f7e96:g:pNIAAOSwzSZmzuP9&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1dCTjfIVI23uRVu0%2FSXNiyK8T6SZwnYdsWrJeVm%2BWPTqY0hqt0TxF%2BX55%2B5sZjYhxVwG3y%2F6nxu8KIPTZDpMkCGB6kE6WSE9kxxDZjdS0iXNDQu12IaUiYwLaZhNf80p3tr2E4iGuEGQx4xvCpAqwkc348GDTYXFIYleLQ6lRoUrDWF%2FpoFB%2Bf9TFYqqfOV3NRjJLR2ARnGRBY6Jm0g6lNhPlkoAbOGW5jj0MgCTpz8TmDso9Y7iwIYbQgkrF%2FiYJY%3D%7Ctkp%3ABk9SR7ib3NKLZg
eBay,BALENCIAGA City Hand Bag Leather Green Auth mr1307,580.0,800.4,https://www.ebay.com/itm/306402005848?_skw=balenciaga+city+bag&hash=item4756fb9358:g:wQMAAeSwUEBoemUr&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1dmxE0k5dVM96gAhYjJbKb0CbEXCUBGVUFX%2Fobj85BkHNO%2FvLQNaQK9Aw9RMgBo%2Bf120ADPbi%2B1nqL5gdxMqbnN%2F0Dk1onAR%2BCM%2FfOAfzkWzvB57mUx0UZJE%2FjEkGjjI7sS40yOTQ%2B7%2Fz1E%2FK0Pl%2F31K%2B11d4ddwVTxNuGkerPZuyeFU9iZGMsGUogovNSe7Sc%2BGaYirjyut8psUmTcnLQqR9l3DgC2mG48TIqMT%2BaDMlA%2FMv4ncejsP6zl1oBybqw%3D%7Ctkp%3ABk9SR7ib3NKLZg
eBay,Balenciaga Black Classic City Handbag Medium 115748-1000/001013 XX92220,1028.0,1418.64,https://www.ebay.com/itm/336086947504?_skw=balenciaga+city+bag&hash=item4e4057d6b0:g:B5gAAeSwOcVogYM1&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1f4Sq7EqdXXCcIQDSNNIpSXa7UmmU70EPvtdWCou6iH5QXovydz9FxcfO0s7bvmfiWZ3U4kPfEbI8ktlrq87hUxqvIw6i1XP7BeIo%2BV0NYLXfL8NolTLqIzcIT9OAwRFMuzQZZP9Y3gQ4H138%2F14iMRwk8goetTqQvAQeQsN6bRYI%2BaBtP1orzWxLViqJddxTDyykZn%2B3AzPBE3ShoVaBEcHolCjqKi2nLNHIKQYnkmSNkDhmbCvGJwbXu%2F%2B48DbIfbMtKoZ4pht7k08ZNQApFY%2BylhY5fjxRD1hoFMNQaf5g%3D%3D%7Ctkp%3ABk9SR7ib3NKLZg
